Author Year,DOI,Source Type,Title
Aziz 2015,10.4028/www.scientific.net/AMM.773-774.470,information,Review on Typical Ingredients
Azizi 2024,10.37934/arefmht.18.1.94105,technical,Heat of Combustion and Therma
Benhammada 2020,10.1002/zaac.202000295,technical,Catalytic Effect of Green CuO Na
Boukeciat 2025,10.1016/j.fpc.2025.02.004,technical,Thermal decomposition behavior
Cang 2023,10.1016/j.combustflame.2023.113108,information,Understanding AP/HTPB compos
Chandrababu 2023,10.1007/s10973-023-12386-9,technical,TG-MS study on the activity of Fe
Chaturvedi 2023,10.1016/j.arabjc.2014.12.033,information,Solid Propellants: AP/HTPB comp
Chu 2023,10.1021/acs.jpcc.3c01666,information,A reaction network of AP decomp
Guo 2024,10.3390/molecules29112680,information,Thermal Hazard Analysis of Two
Guo 2025,10.3390/solids6020027,information,The Synergistic Effect of Fe-Base
Hosseini 2019,10.1007/ss10973-019-08266-w,technical,Copper chromite decorated on nitr
Li 2022,10.1007/s10973-022-11310-x,information,Experimental research on multist
Peng 2025,10.3390/ma18132928,technical,Preparation of Cu-Containing Sub
Rodriguez 2019,10.2514/6.2019-4440,technical,Burning Rate Characterization of 
Rodríguez-Pesina 2017,10.4236/msa.2017.86030,technical,The Thermal Decomposition of A
Saha 2024,10.1007/s10973-024-13395-y,information,Effect of copper chromite on amm
Singh 2008,10.1166/jbn.2008.002,technical,"Preperation, Characterization and"
Sivadas 2019,10.1007/s10973-019-08209-5,information?,Insight into the catalytic thermal d
Song 2008,10.1002/prep.200800222,technical?,Effect of Zn Powders on the Ther
Tu 2024,10.1038/s41598-024-70168-1,information,Effect of aluminum and ammoniu
Vara 2019,10.1016/j.dt.2019.04.002,technical,The catalytic activity of transition
Wang 2025,10.3390/catal15040354,technical,Aluminum Microspheres Coated
Yadav 2025,10.1016/j.dt/2020.06.007,technical,Recent advances in catalytic com
Yaman 2014,10.1016/j.fuel/2013.05.033,information,Experimental investigation of the f
Yu 2009,10.1016/S1872-2067(08)60087-X,technical,DSC/TG-MS Study on in Situ Cat
Zhou 2025,10.1016/j.apt.2025.104865,technical,Study on the regulation of thermal